Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
մածուն,matsun,yogurt,"Նախաճաշին ես սիրում եմ մածուն ուտել մեղրով։ [For breakfast, I like to eat yogurt with honey.]",Noun. Root: մածուն (matsun). Definite form: մածունը (matsunə). A traditional Armenian fermented milk product.,My 'MATS'UN' (mad son) loves to spill yogurt on the mat.,Food & Dining
մայիս,mayis,May,"Մայիսին ծաղիկները սկսում են ծաղկել։ [In May, the flowers start to bloom.]",Noun. Root: մայիս (mayis). Definite form: մայիսը (mayisə). From Latin 'Maius'.,I 'MAYIS' go on vacation in May.,"Time, Calendar & Seasons"
մայրիկ,mayrik,mother,Իմ մայրիկը ամենահամեղ տոլման է պատրաստում։ [My mother makes the most delicious dolma.],Noun. Root: մայր (mayr - mother). '-իկ' (-ik) is a common diminutive/affectionate suffix. Definite form: մայրիկը (mayrikə).,"My mother is named Mary, Rick. 'MAYRIK'.",People & Family
մանուկ,manuk,baby,Մանուկը քնած է իր օրորոցում։ [The baby is sleeping in his cradle.],Noun. Root: մանուկ (manuk). Definite form: մանուկը (manukə). Plural: մանուկներ (manukner).,The baby is reading a 'MANUK'-script (manuscript).,People & Family
մանուշակագույն,manushakaguyn,purple,Նա կրում էր գեղեցիկ մանուշակագույն զգեստ։ [She was wearing a beautiful purple dress.],Adjective. Compound word: մանուշակ (manushak - violet flower) + գույն (guyn - color).,A 'MAN-USH-AKA-GUYN' (man who's a king) always wears a purple robe.,Adjectives & Qualities
մասնակցել,masnakts'el,participate,Դու ուզու՞մ ես մասնակցել խաղին։ [Do you want to participate in the game?],Verb. Infinitive: մասնակցել (masnakts'el). Imperative: մասնակցի՛ր (masnakts'ir).,I'll participate if there's a 'MAS'NAK-TS'EL' (massive snack sale).,Actions & Verbs
մատիտ,matit,pencil,"Խնդրում եմ, ինձ մի մատիտ տուր։ [Please, give me a pencil.]",Noun. Root: մատիտ (matit). Definite form: մատիտը (matitə). Plural: մատիտներ (matitner).,Don't put the pencil on the 'MAT IT' will roll off.,Objects & Tools
մարզասրահ,marzasrah,gym,Ես շաբաթը երեք անգամ գնում եմ մարզասրահ։ [I go to the gym three times a week.],Noun. Compound word: մարզ- (marz- from մարզել - to train) + սրահ (srah - hall). Definite form: մարզասրահը (marzasrahə).,"I see 'MARZ-A-SRAH' (Mars, ah!) when I lift heavy weights at the gym.",Places & Buildings
մարտ,mart,March,Մարտ ամսին գարունը սկսվում է։ [Spring begins in the month of March.],"Noun. Root: մարտ (mart). Definite form: մարտը (martə). Also means 'battle'. From Latin 'Martius' (Mars, god of war).",The soldiers 'MART'-ch into battle in March.,"Time, Calendar & Seasons"
մեծ,mets,big / great,Երևանը Հայաստանի ամենամեծ քաղաքն է։ [Yerevan is the biggest city in Armenia.],Adjective. Root: մեծ (mets). Comparative: ավելի մեծ (aveli mets). Superlative: ամենամեծ (amenamets).,I 'METS' a very big and great person today.,Adjectives & Qualities
մեկ,mek,1,Խանութից մեկ հաց գնիր։ [Buy one bread from the store.],Number. Root: մեկ (mek).,MEK' a wish when you see one shooting star.,Numbers & Quantity
մեկ բաժին,mek bazhin,one section,Գրքի առաջին մեկ բաժինը շատ հետաքրքիր էր։ [The first one section of the book was very interesting.],"Noun phrase. մեկ (mek - one) + բաժին (bazhin - portion, section).",Give 'MEK BAZHIN' (my cousin) one section of the cake.,Numbers & Quantity
մեկ միլիոն,mek milion,"1,000,000",Նա շահեց մեկ միլիոն դրամ։ [He won one million drams.],Noun phrase. մեկ (mek - one) + միլիոն (milion - million).,I want to make 'MEK MILION' dollars. (Sounds very similar).,Numbers & Quantity
մեկնել,meknel,leave,Գնացքը կմեկնի տասը րոպեից։ [The train will leave in ten minutes.],Verb. Infinitive: մեկնել (meknel). Imperative: մեկնի՛ր (meknir).,"It's time to leave, so let's 'MEK'NEL' (make nail) down the hatches!",Travel & Transportation
մենք,menk',we,Մենք ընկերներ ենք։ [We are friends.],"Pronoun. First-person plural pronoun, nominative case.","MENK'' (monks) are praying for all of us, we are one group.",General
մետր,metr,meter,Այս սենյակը երեք մետր երկարություն ունի։ [This room is three meters long.],Noun. Root: մետր (metr). Definite form: մետրը (metrə). An international word.,I 'MET'R' him a meter away from here.,Numbers & Quantity
մետրո,metro,metro,Երևանի մետրոն շատ հարմար է։ [The Yerevan metro is very convenient.],Noun. Root: մետրո (metro). Definite form: մետրոն (metron). An international word.,I'll 'MET'RO' you at the metro station. (Sounds almost identical).,Travel & Transportation
մեր,mer,our,Սա մեր տունն է։ [This is our house.],Pronoun. First-person plural possessive pronoun.,"MER'-ry Christmas to all, this is our celebration!",General
մեքենա,mek'ena,car,Ես նոր մեքենա եմ ուզում գնել։ [I want to buy a new car.],Noun. Root: մեքենա (mek'ena). Definite form: մեքենան (mek'enan). From Greek 'mēkhanḗ'.,My friend 'MEK'ENA' (McKenna) just bought a new car.,Travel & Transportation
մի բան,mi ban,something,Ես ուզում եմ մի բան խմել։ [I want to drink something.],Phrase. Composed of 'մի' (mi - a/one) and 'բան' (ban - thing). Literally means 'a thing' or 'one thing'.,There is a 'MI BAN' on *something* on the counter.,General
մի րոպե,mi rope,one minute,"Խնդրում եմ, սպասիր մի րոպե։ [Please, wait one minute.]",Phrase. Composed of 'մի' (mi - one) and 'րոպե' (rope - minute).,To climb MI ROPE will take more than *one minute*.,"Time, Calendar & Seasons"
մի քիչ,mi k'ich',a little bit,Ես մի քիչ հայերեն եմ խոսում։ [I speak a little bit of Armenian.],Phrase. Composed of 'մի' (mi - a) and 'քիչ' (k'ich' - little). An idiomatic way to say 'a bit'.,There is *a little bit* of frosting on ME K'ICH'in.,Numbers & Quantity
միասին,miasin,together,Եկեք միասին ճաշենք։ [Let's have lunch together.],"Adverb. Root is 'մի' (mi), meaning 'one'. The suffix '-ասին' (-asin) conveys the idea of 'as one' or togetherness.",M.I.A. will SING with us *together*.,General
միլիոն,milion,"1,000,000",Այս մեքենան արժե գրեթե մեկ միլիոն դրամ։ [This car costs almost one million dram.],"Noun. A cognate with the English word 'million', making it easy to remember.",It sounds exactly like the English word *million*.,Numbers & Quantity
մինչ վաղը,minch' vagh@,see you tomorrow,"Լավ, ես պետք է գնամ, մինչ վաղը։ [Okay, I have to go, see you tomorrow.]",Phrase. Composed of 'մինչ' (minch' - until) and 'վաղը' (vagh@ - tomorrow). The literal meaning is 'until tomorrow'.,"I have to MINCE this VAGUE vegetable, *see you tomorrow*!",General
միշտ,misht,always,Նա միշտ օգնում է իր ընկերներին։ [He always helps his friends.],Adverb of frequency.,I *always* MISHT my appointment when I oversleep.,"Time, Calendar & Seasons"
միս,mis,meat,Ես այսօր ընթրիքի համար միս եմ պատրաստում։ [I am cooking meat for dinner today.],Noun. Definite form: միսը (mis@).,I *miss* eating good *meat*.,Food & Dining
միրգ,mirg,fruit,"Ամռանը շուկայում շատ թարմ միրգ կա։ [In the summer, there is a lot of fresh fruit in the market.]",Noun. Definite form: միրգը (mirg@). Plural: մրգեր (mrger).,The murky MIRG swamp grows strange *fruit*.,Food & Dining
մնալ,mnal,to stay,Նա որոշեց մնալ հյուրանոցում ևս երկու օր։ [She decided to stay at the hotel for two more days.],"Verb. Infinitive: մնալ (mnal). Imperative (you, singular): մնա՛ (mna՛).","MA NAL-ed the door shut, so we have *to stay* here.",Actions & Verbs
մոխրագույն,mokhraguyn,gray,"Ամպերը մոխրագույն էին, և շուտով անձրև սկսվեց։ [The clouds were gray, and soon it started to rain.]",Adjective. Compound word from 'մոխիր' (mokhir - ash) + 'գույն' (guyn - color). Literally 'ash-color'.,"The MOKE-RA-GUYN monster's skin was the color of ash, which is *gray*.",Adjectives & Qualities
մոմ,mom,candle,Ծննդյան տորթի վրա վառվում էր մեկ մոմ։ [One candle was burning on the birthday cake.],Noun. Definite form: մոմը (mom@). Plural: մոմեր (momer).,My MOM lit a *candle* for my birthday.,Objects & Tools
մոտ,mot,near,Դեղատունը գտնվում է հիվանդանոցի մոտ։ [The pharmacy is located near the hospital.],"Postposition. Comes after the noun it modifies, which is typically in the genitive case (e.g., տան մոտ - near the house).",The castle *moat* is *near* the walls.,Places & Buildings
մոտենալ,motenal,to approach,"Երբ երեխան տեսավ իր մայրիկին, նա սկսեց մոտենալ։ [When the child saw his mother, he started to approach.]","Verb. Derived from 'մոտ' (mot - near). Infinitive: մոտենալ (motenal). Imperative (you, singular): մոտեցի՛ր (motets'ir).",MOT-EN-ALL the sheep started *to approach* the farmer for food.,Actions & Verbs
մոտիկ,motik,near / close,Իմ տունը քո տանը շատ մոտիկ է։ [My house is very close to your house.],"Adjective/Adverb. A variation of 'մոտ' (mot), often used to describe closeness in relationships or proximity.",You have to MOW-TIK-s on the lawn that are *near* the house.,Places & Buildings
մորաքույր,morak'uyr,aunt (mother's),Իմ մորաքույրը շատ համեղ տոլմա է պատրաստում։ [My aunt makes very delicious dolma.],Noun. Compound word: 'մոր' (mor - mother's) + 'քույր' (k'uyr - sister). Literally 'mother's sister'.,It's MOR-A-K'UYR-ious how my *aunt* (mother's sister) makes that cake.,People & Family
մորեղբայր,moreghbayr,uncle (mother's),Մորեղբայրս ինձ սովորեցրեց շախմատ խաղալ։ [My uncle taught me how to play chess.],Noun. Compound word: 'մոր' (mor - mother's) + 'եղբայր' (eghbayr - brother). Literally 'mother's brother'.,MORE-EGH-BAYRs live at my *uncle's* house than you can imagine.,People & Family
մուգ,mug,dark,Նա սիրում է խմել մուգ սուրճ առանց շաքարի։ [She likes to drink dark coffee without sugar.],"Adjective. Used to describe colors or liquids (like coffee). For example, 'մուգ կապույտ' (mug kapuyt) means 'dark blue'.",He drank the *dark* coffee from a MUG.,Adjectives & Qualities
մուկ,muk,mouse,Փոքրիկ մուկը վախեցավ կատվից և թաքնվեց։ [The little mouse got scared of the cat and hid.],Noun. Definite form: մուկը (muk@). The genitive form is մկան (mkan) and the plural is մկներ (mkner).,There's a *mouse* in the MOOK-ie jar!,Animals
մտածել,mtats'el,to think,Ես պետք է մտածեմ քո առաջարկի մասին։ [I need to think about your offer.],"Verb. Derived from 'միտք' (mitk' - mind, thought). Infinitive: մտածել (mtats'el). Imperative (you, singular): մտածի՛ր (mtats'ir).",I *think* I'll have the MEAT AT a CELLar party.,Actions & Verbs
մտնել,mtnel,to enter,"Խնդրում եմ, մտի՛ր սենյակ։ [Please, enter the room.]","Verb. Infinitive: մտնել (mtnel). Imperative (singular, informal): մտի՛ր (mtir).",I must **enter** and find my **mittens** (mtnel).,Actions & Verbs
մրսել,mrsel,to catch a cold,"Երեկոյան ցուրտ էր, և ես մրսեցի։ [It was cold in the evening, and I caught a cold.]",Verb. Infinitive: մրսել (mrsel).,I caught a cold from eating too many **morsels** (mrsel) of ice cream.,Health & Well-being
յոթ,yot',7,Շաբաթվա մեջ կա յոթ օր։ [There are seven days in a week.],Cardinal Number.,There are **7** people on that **yacht** (yot').,Numbers & Quantity
յոթանասուն,yot'anasun,70,Պապիկս այս տարի դառնում է յոթանասուն տարեկան։ [My grandpa is turning seventy years old this year.],Cardinal Number. Derived from յոթ (yot' - seven).,The **yacht** under the **sun** (yot'anasun) costs **70** million.,Numbers & Quantity
յուղ,yugh,fat,Տապակելու համար խնդրում եմ յուղ տուր։ [Please give me some oil/fat for frying.],"Noun. Definite form: յուղը (yughy). Can mean oil, butter, or fat.","**Yuck** (yugh), there's too much **fat** in this.",Food & Dining
նա,na,he / she / it,Նա իմ լավագույն ընկերն է։ [He/She is my best friend.],"Personal Pronoun, 3rd person singular.","**Nah** (na), **he** didn't do it.",People & Family
նախաճաշ,nakhachash,breakfast,Ես սիրում եմ նախաճաշին ձվածեղ ուտել։ [I like to eat omelets for breakfast.],Noun. Compound word: նախ (nakha - before) + ճաշ (chash - meal). Definite form: նախաճաշը (nakhachashy).,I ate **nachos** for **breakfast** with my friend **Chaz** (nakhachash).,Food & Dining
նահանգ,nahang,state,Կալիֆոռնիան Ամերիկայի ամենաշատ բնակչություն ունեցող նահանգն է։ [California is the most populous state in America.],Noun. Definite form: նահանգը (nahangy). Plural: նահանգներ (nahangner).,Don't let the **state**'s flag just **hang** (nahang) there; raise it high!,Places & Buildings
նամակ,namak,letter,Ես ընկերոջիցս երկար նամակ ստացա։ [I received a long letter from my friend.],Noun. Definite form: նամակը (namaky). Plural: նամակներ (namakner).,**No Mac** (namak) computer can send a physical **letter** like this.,Objects & Tools
նայել,nayel,to look,"Նայիր, թե ինչ գեղեցիկ է արևամուտը։ [Look, how beautiful the sunset is.]","Verb. Infinitive: նայել (nayel). Imperative (singular, informal): նայի՛ր (nayir).",I **nailed** (nayel) it! Come and **look**!,Actions & Verbs
նարինջ,narinj,orange,Այս նարինջը շատ քաղցր ու հյութալի է։ [This orange is very sweet and juicy.],Noun. Definite form: նարինջը (narinjy). Cognate with the English word 'orange' through Persian.,This **new engine** (narinj) runs on **orange** juice.,Food & Dining
նարնջագույն,narnjaguyn,orange,Իմ սենյակի պատերը նարնջագույն են։ [The walls of my room are orange.],Adjective. Compound word: նարինջ (narinj - orange) + գույն (guyn - color).,The **orange-colored** **gun** (narnjaguyn) was a water pistol.,Adjectives & Qualities
ներել,nerel,to forgive,"Եթե սիրում ես, պետք է կարողանաս ներել։ [If you love, you must be able to forgive.]","Verb. Infinitive: ներել (nerel). Imperative (singular, informal): ների՛ր (nerir).","**Near El**le, I can **forgive** anything.",Actions & Verbs
ներեցե՛ք,neretsek',sorry,"Ներեցե՛ք, ես ձեզ չնկատեցի։ [Sorry, I didn't notice you.]",Verb. Formal/Plural imperative form of ներել (nerel - to forgive). Used to apologize.,I'm **sorry** I made you **share a tea sack** (neretsek').,General
ներեցեք,neretsek',sorry / excuse me,"Ներեցեք, կարո՞ղ եք ասել՝ ինչպես հասնել հրապարակ։ [Excuse me, can you tell me how to get to the square?]",Verb. Formal/Plural imperative of ներել (nerel - to forgive). Used to get attention politely.,"**Excuse me**, I have a **rare teacake** (neretsek') to show you.",General
ներս,ners,in / inside,"Դրսում ցուրտ է, արի՛ ներս։ [It's cold outside, come inside.]",Adverb of place.,The **nurse** (ners) is waiting **inside**.,Places & Buildings
ներս մտնել,ners mtnel,enter,"Խնդրում եմ, առանց թակելու ներս մի՛ մտիր։ [Please, don't enter without knocking.]",Verb Phrase. Combines ներս (ners - inside) and մտնել (mtnel - to enter).,The **nurse muddled** (ners mtnel) her way to **enter** the room.,Actions & Verbs
ներքև,nerk'ev,down,Աստիճաններով զգույշ իջիր ներքև։ [Go down the stairs carefully.],Adverb of place.,I would **never care if** (nerk'ev) I have to climb **down**.,General
նկար,nkar,picture / photo,Սա իմ ամենասիրելի նկարն է։ [This is my favorite picture.],Noun. Definite form: նկարը (nkary). Plural: նկարներ (nkarner).,I took a **picture** of my **new car** (nkar).,Objects & Tools
նկարիչ,nkarich',painter / artist,Վան Գոգը հայտնի նկարիչ էր։ [Van Gogh was a famous artist.],Noun. From նկար (nkar - picture) + the profession suffix -իչ (-ich). Definite form: նկարիչը (nkarichy).,The **artist**'s **new car is** (nkarich') a masterpiece.,Professions & Occupations
ննջասենյակ,nnjasenyak,bedroom,Իմ ննջասենյակը շատ լուսավոր է։ [My bedroom is very bright.],"Noun. Root: ննջ- (nnj-, 'sleep') + սենյակ (senyak, 'room'). Definite form: ննջասենյակը (nnjasenyakə).",The NINJA sleeps in the SENYAK (shack) in his bedroom.,Home & Furniture
նոյեմբեր,նոյեմբեր,November,Նոյեմբերին արդեն ցուրտ է լինում։ [It's already cold in November.],"Noun. An international word, recognizable in many languages.","NO, YEM-ber, I'm not ready for the cold weather in NOVEMBER.","Time, Calendar & Seasons"
նոր,nor,new,Ես նոր մեքենա եմ գնել։ [I bought a new car.],Adjective. A basic and common descriptor. Does not change for number or case.,It is NOR-mal to be excited about a NEW car.,Adjectives & Qualities
նուշ,nush,almond,Ես սիրում եմ նուշ ուտել։ [I like to eat almonds.],Noun. Definite: նուշը (nushə). Common plural: նուշեր (nusher).,Don't give the ALMONDS a NUDGE or the bowl will fall.,Food & Dining
նուրբ,nurb,fine / delicate,Այս գործվածքը շատ նուրբ է։ [This fabric is very delicate.],Adjective. Does not change for number or case.,The NERD handled the DELICATE butterfly with extreme care.,Adjectives & Qualities
նստել,nstel,to sit,"Խնդրում եմ, նստեք։ [Please, sit down.]","Verb. Infinitive: նստել (nstel). Imperative: նստի՛ր (nsti՛r, singular) / նստե՛ք (nste՛k', plural).",You have to NESTLE in to SIT comfortably on that small chair.,Actions & Verbs
նվագել,nvagel,to play (inst),Նա գեղեցիկ դաշնամուր է նվագում։ [She plays the piano beautifully.],"Verb. Infinitive: նվագել (nvagel). Imperative: նվագի՛ր (nvagi՛r, singular) / նվագե՛ք (nvage՛k', plural).",NAVIGATE the musical notes to PLAY the instrument correctly.,Actions & Verbs
նրա,nra,his / her / its,Սա նրա գիրքն է։ [This is his/her book.],"Pronoun. Genitive (possessive) case of նա (na, 'he/she/it').",Imagine a member of the NRA protecting HIS/HER property.,General
նրանց,nrants',their,Նրանց տունը շատ մեծ է։ [Their house is very big.],"Pronoun. Genitive (possessive) case of նրանք (nrank', 'they').",NRA RANTS on the news about THEIR rights.,General
նրանք,nrank',they,Նրանք գնում են կինո։ [They are going to the cinema.],Pronoun. Third-person plural nominative. Root is նր- (nr-).,The NRA RANKS are huge; THEY have many members.,General
շաբաթ,shabat',week / Sat.,Այս շաբաթ շատ զբաղված եմ։ [This week I am very busy.],Noun. From Hebrew 'Shabbat'. Means both 'week' and 'Saturday'. Definite: շաբաթը (shabat'ə).,"I will SHOW UP AT your party on SATURDAY, at the end of the WEEK.","Time, Calendar & Seasons"
շաբաթվա օրեր,shabat'va orer,weekdays,Շաբաթվա օրերին ես աշխատում եմ։ [On weekdays I work.],Phrase. շաբաթվա (shabat'va - 'of the week') + օրեր (orer - 'days').,I SHOW UP FOR orders from my boss on the WEEKDAYS.,"Time, Calendar & Seasons"
շագանակագույն,shaganakaguyn,brown,Նա շագանակագույն աչքեր ունի։ [She has brown eyes.],"Adjective. Compound word: շագանակ (shaganak, 'chestnut') + գույն (guyn, 'color'). Literally 'chestnut-color'.",Imagine a SHAGGY KNOCK-A-GUY IN a BROWN trench coat.,Adjectives & Qualities
շապիկ,shapik,undershirt,Նա վերնաշապիկի տակից սպիտակ շապիկ էր հագել։ [He wore a white undershirt under his shirt.],Noun. Also used for T-shirt. Definite: շապիկը (shapikə).,A SHARP PICK from a nail tore my new UNDERSHIRT.,Objects & Tools
շատ,shat,a lot / very,Ես քեզ շատ եմ սիրում։ [I love you very much.],Adverb/Adjective. A highly common word used to intensify meaning.,"He SHOT the basketball A LOT of times, VERY accurately.",Numbers & Quantity
շատ շնորհակալ եմ,shat shnorhakal em,thank you very much,Օգնության համար շատ շնորհակալ եմ։ [Thank you very much for the help.],"Phrase. A polite, formal expression. շատ (shat, 'very') + շնորհակալ եմ (shnorhakal em, 'I am thankful').",I SHOT NOR-CALL 'EM to say THANK YOU VERY MUCH for the gift.,General
շարունակել,sharunakel,to continue,Եկեք շարունակենք մեր աշխատանքը։ [Let's continue our work.],"Verb. Infinitive: շարունակել (sharunakel). Imperative: շարունակի՛ր (sharunaki՛r, singular) / շարունակե՛ք (sharunake՛k', plural).","SHARON, KNOCK ELLEN out of the way so we can CONTINUE the race.",Actions & Verbs
շաքար,shak'ar,sugar,Ես սուրճը շաքարով եմ սիրում։ [I like my coffee with sugar.],Noun. An international word from Sanskrit 'śarkarā'. Definite form: շաքարը (shak'arə).,The baker SHOOK HER car keys to get the spilled SUGAR off them.,Food & Dining
շենք,shenk',building,Այս շենքը շատ բարձր է։ [This building is very tall.],Noun. Definite form: շենքը (shenk'ə). Plural: շենքեր (shenk'er).,The SHANK of the nail holds the BUILDING together.,Places & Buildings
շիշ,shish,bottle,"Խնդրում եմ, մի շիշ ջուր տվեք։ [Please give me a bottle of water.]",Noun. Definite: շիշը (shishə). Plural: շշեր (shsher).,The SHISH kebab marinade is in that BOTTLE.,Objects & Tools
շնորհակալ եմ,shnorhakal em,thank you,Շնորհակալ եմ ձեր օգնության համար։ [Thank you for your help.],"A set phrase. Literally 'I am grateful'. Composed of շնորհակալ (shnorhakal - grateful) and եմ (em - I am). The root is շնորհ (shnorh), meaning 'grace' or 'favor'.","I'm grateful you didn't SHNORE a HACKLE of mine, thank you!",General
շնորհակալություն,shnorhakalut'yun,thank you,Մեծ շնորհակալություն այս գեղեցիկ նվերի համար։ [Many thanks for this beautiful gift.],"Noun form of 'thank you'. The '-ություն' (-ut'yun) suffix creates an abstract noun, similar to '-tion' or '-ness' in English. It's a more formal way to express thanks.",A 'SHNORHAKALUT'YUN' (schnorkel-salutation) is my way of saying thanks!,General
շոգ,shog,heat,"Այսօր շատ շոգ է, արի լողալու գնանք։ [It's very hot today, let's go swimming.]","Noun. Root: շոգ (shog). It's often used with the verb 'to be' (է - e) to describe the weather, e.g., 'շոգ է' (shog e) means 'it is hot'.",It's so hot I'm in 'SHOG' (shock).,Nature & Environment
շոկոլադ,shokolad,chocolate,Ես սև շոկոլադ եմ սիրում։ [I like dark chocolate.],Noun. Cognate of the international word 'chocolate'. Definite form: շոկոլադը (shokoladuh).,"This one is easy, it sounds just like 'chocolate'!",Food & Dining
շոր,shor,clothes,Նոր շորեր եմ առել խանութից։ [I bought new clothes from the store.],Noun. Root: շոր (shor). Plural: շորեր (shorer). Definite plural: շորերը (shoreruh).,It's a 'CHORE' to wash all these clothes.,Objects & Tools
շուն,shun,dog,Մեր շունը սիրում է գնդակով խաղալ։ [Our dog loves to play with a ball.],Noun. Root: շուն (shun). Definite form: շունը (shunuh). Plural: շներ (shner).,"Don't let the dog 'SHUN' you, go play with it!",Animals
շուտ,shut,early / soon,"Խնդրում եմ, վաղը շուտ արի։ [Please, come early tomorrow.]","Adverb. Root: շուտ (shut). Can mean 'early', 'soon', or 'fast'. 'Շուտ-շուտ' (shut-shut) means 'often' or 'quickly'.","SHUT' the door, we have to leave soon!","Time, Calendar & Seasons"
շտապ օգնություն,sht'ap ognut'yun,ambulance,"Զանգիր շտապ օգնություն, նա իրեն լավ չի զգում։ [Call the ambulance, he doesn't feel well.]",Compound noun. Literally 'urgent help'. It's composed of շտապ (shtap - urgent) and օգնություն (ognut'yun - help).,SHT'AP' (Stop)! An 'OGNUT'YUN' (ogre needs soon) help! Call the ambulance!,Health & Well-being
շտապել,shtapel,to hurry,"Պետք է շտապենք, թե չէ կուշանանք։ [We need to hurry, or else we'll be late.]",Verb. Infinitive: շտապել (shtapel). Imperative (singular): շտապի՛ր (shtapir). Root: շտապ (shtap).,Hurry up and 'SHTAPEL' (staple) these documents!,Actions & Verbs
ո՞նց,vonts',how (informal),Ո՞նց պատրաստեցիր այս համեղ տորթը։ [How did you make this delicious cake?],Interrogative adverb. An informal contraction of the more formal ինչպես (inch'pes).,"VONTS' (once) upon a time, I asked 'how'?",General
ո՞նց ես,vonts' es,how are you?,"Բարև, Արամ, ո՞նց ես։ [Hello, Aram, how are you?]","Set phrase. A combination of Ո՞նց (vonts' - how) and ես (es - you are, 2nd person singular informal).",VONTS' ES' (wants eggs)? Is that how you ask 'how are you'?,General
ո՞նց թե,vonts' t'e,how?,— Ես չեմ գալիս։ — Ո՞նց թե չես գալիս։ [— I'm not coming. — How come you're not coming?],"Interrogative phrase. Used to express surprise or disbelief, similar to 'How come?' or 'What do you mean?'.",VONTS' T'E' (wants tea)? How is that possible? I thought you wanted coffee!,General
ո՞վ / ովքե՞ր,ov / ovk'er,who (s/pl),Ո՞վ է թակում դուռը։ Ովքե՞ր են եկել։ [Who is knocking on the door? Who (plural) has come?],Interrogative pronoun. Singular: ով (ov). Plural: ովքեր (ovk'er).,OV' (of) course I know who did it. 'OVk'ER' (of care) are the people who came.,General
ո՞ր,or,which,Ո՞ր գիրքն ես ուզում կարդալ։ [Which book do you want to read?],"Interrogative determiner. Root: որ (or). Can be used before a noun ('which book') or as a pronoun, often with the definite article: որը (oruh) - 'which one'.",I'll take this one 'OR' (or) that one? Which one?,General
ողջույն,voghjuyn,hello,"Ողջույն, կարելի՞ է Աննային։ [Hello, may I speak to Anna?]","Greeting. It comes from the word ողջ (voghj), which means 'whole', 'safe', or 'alive'. It's a slightly more formal greeting than բարև (barev).",Say hello with a 'VOGHJUYN' (voguing) pose!,General
ոչ / չէ,voch' / ch'e,no,"— Սուրճ կուզե՞ս։ — Ո՛չ, շնորհակալություն։ [— Do you want coffee? — No, thank you.]","Negation particles. Ոչ (voch') is a standalone 'no'. Չէ (ch'e) is more versatile and often used with verbs (e.g., չեմ գալիս - I am not coming).","VOCH' (watch) me say no. 'CH'E', that sounds like 'neh' which means no.",General
ոչինչ,voch'inch',nothing / I'm OK,"— Ի՞նչ պատահեց։ — Ոչինչ, ամեն ինչ կարգին է։ [— What happened? — Nothing, everything is fine.]",Pronoun. A combination of ոչ (voch' - no) and ինչ (inch' - thing/what). Literally 'no-thing'. Can also mean 'you're welcome' or 'it's ok'.,"VOCH'INCH' (watch-inch) where you're going, or you'll trip on nothing.",General
որդի,ordi,son,Իմ որդին արդեն համալսարան է գնում։ [My son is already going to university.],Noun. Root: որդի (ordi). Definite form: որդին (ordin). Plural: որդիներ (ordiner).,"My son is not a bad kid, he's just 'ORDI'-nary (ordinary).",People & Family
որոշել,voroshel,decide,Ես որոշել եմ հայերեն սովորել։ [I have decided to learn Armenian.],Verb. Infinitive: որոշել (voroshel). Imperative (singular): որոշի՛ր (voroshir). Root: որոշ (vorosh).,I've decided to put 'YOUR SHELL' (voroshel) on the shelf.,Actions & Verbs
որովհետև,orovhetev,because,"Ես ուրախ եմ, որովհետև դու այստեղ ես։ [I'm happy because you are here.]",Conjunction. A compound word that connects a cause to a result.,"I'm late because, 'OROVHETEV' (oh, drove it heavy), the traffic was bad.",General
որտե՞ղ,ort'egh,where (loc.),Որտե՞ղ է քո նոր գրասենյակը։ [Where is your new office?],Interrogative adverb for location (static). Root is related to 'որ' (vor - which). Contrasted with ու՞ր (ur) for direction.,OR-TEGH' sounds like 'Or take?' me to the place. Where is it?,Places & Buildings
ու,u,and,Ես սիրում եմ թեյ ու սուրճ։ [I like tea and coffee.],Conjunction. The most common way to say 'and'. Connects words or phrases of equal importance.,U' sounds like 'You'. You and me.,General
ու՞մ,um,whose / whom,Ու՞մ է պատկանում այս մեքենան։ [Whom does this car belong to? / Whose car is this?],Interrogative pronoun. It is the genitive (whose) and dative/accusative (whom) case of ո՞վ (ov - who).,UM' sounds almost identical to the English word 'Whom'.,People & Family
ու՞ր,ur,where (dir.),Ամռանը ու՞ր եք գնալու հանգստանալու։ [Where are you going to rest in the summer?],Interrogative adverb for direction (dynamic). Often used with verbs of motion like գնալ (gnal - to go).,UR' sounds like 'You're...'. 'You're going where?',Travel & Transportation
ուզել,uzel,to want,Ես մի բաժակ ջուր եմ ուզում։ [I want a glass of water.],Verb. Infinitive: ուզել (uzel). Imperative: ուզի՛ր (uzir). The present tense stem is ուզում (uzum).,UZEL' sounds like 'Who's zealous?' 'Who's zealous enough to want that?',Actions & Verbs
ութ,ut',8,Իմ ծննդյան տորթի վրա ութ մոմ կար։ [There were eight candles on my birthday cake.],Cardinal number. It is written 'ութ' in Armenian script.,UT'' sounds a bit like 'eight'. Imagine someone with a Scottish accent saying 'Out!' eight times.,Numbers & Quantity
ունենալ,unenal,to have,Ես երկու եղբայր ունեմ։ [I have two brothers.],"Verb. Infinitive: ունենալ (unenal). Imperative: ունեցի՛ր (unets'ir). This is a very common, slightly irregular verb.","UNENAL' sounds like 'OWN IT ALL'. If you 'own it all', you have everything.",Actions & Verbs
